1;3616.00;10.70;592.00;big
1;3709.00;10.60;640.00;big
2;3590.00;11.25;685.00;big
2;3709.00;10.15;737.00;big
3;3466.00;13.95;729.00;big
3;3588.00;22.85;741.00;big
4;3377.00;10.25;672.00;big
4;3482.00;10.10;594.00;big
5;3474.00;9.50;928.00;big
5;3611.00;10.63;858.00;big
6;3407.00;11.10;1012.00;big
6;3360.00;11.30;1099.00;big
7;3520.00;10.00;958.00;big
7;3471.00;10.05;1010.00;big
8;3201.00;11.53;751.00;big
8;3362.00;18.65;809.00;big
9;3191.00;11.10;905.00;big
9;3270.00;10.28;949.00;big
10;3214.00;18.00;1173.00;big
10;3082.00;17.10;1061.00;big
11;3335.00;10.85;1196.00;big
11;3402.00;10.00;1218.00;big
12;2921.00;15.00;1030.00;big
12;2741.00;15.88;937.00;big
13;3043.00;11.70;731.00;big
13;3103.00;10.00;804.00;big
14;2775.00;10.20;731.00;big
14;2926.00;12.50;864.00;big
15;2668.00;10.57;815.00;big
15;2388.00;10.50;749.00;big
16;2559.00;19.38;893.00;big
16;2455.00;11.23;825.00;big
17;2451.00;13.57;1158.00;big
17;2593.00;16.83;1175.00;big
18;2618.00;9.98;1261.00;big
18;2959.00;9.50;1312.00;big
19;2787.00;12.45;1143.00;big
19;2939.00;12.45;1154.00;big
20;2645.00;10.75;1055.00;big
20;2606.00;12.80;987.00;big
21;2523.00;17.10;1040.00;big
21;2442.00;17.45;908.00;big
22;2261.00;16.58;871.00;big
22;2377.00;11.35;996.00;big
23;2309.00;10.57;1049.00;big
23;2168.00;10.80;1021.00;big
24;2118.00;10.50;1250.00;big
24;2122.00;13.82;1144.00;big
25;2148.00;11.18;1386.00;big
25;2278.00;12.32;1316.00;big
26;2026.00;9.50;1478.00;big
26;1967.00;17.00;1490.00;big
27;4552.00;9.50;1082.00;big
27;1136.00;9.50;939.00;big
28;2299.00;9.50;1183.00;big
28;2416.00;9.50;1282.00;big
29;3161.00;9.50;1314.00;big
29;3087.00;9.50;1287.00;big
30;2029.00;9.50;1341.00;big
30;2143.00;9.50;1458.00;big
31;2519.00;9.50;597.00;big
31;2827.00;9.50;578.00;big
32;3056.00;9.50;602.00;big
32;3254.00;9.50;632.00;big
33;3484.00;9.50;518.00;big
33;3762.00;9.50;617.00;big
34;3715.00;9.50;902.00;big
34;3880.00;9.50;1050.00;big
35;3640.00;9.50;1328.00;big
35;3534.00;9.50;1164.00;big
36;3391.00;9.50;1448.00;big
36;3177.00;9.50;1443.00;big
37;2580.00;9.50;1499.00;big
37;2852.00;9.50;1484.00;big
38;2037.00;9.50;931.00;big
38;2192.00;9.50;742.00;big
39;1934.00;9.50;1255.00;big
39;1767.00;9.50;1179.00;big
40;1918.00;9.50;1553.00;big
40;2243.00;9.50;1630.00;big
